zone_name,risk_mean
Bell Village,4.0833
Canal Dayot,3.0677
Champ de Mars,3.5808
La Cure,4.0475
Plaine Verte,3.9557
Port Louis CBD,3.8745
Roche Bois,3.9658
Vallee Pitot,3.8502
Vallee des Pretres,4.2741
